"Id","Name","Parent","File","Components"
"AnomalyRockQuartz","","AnomalyRockBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,EntitySpawnAnomaly"
"AnomalyRockSilver","","AnomalyRockBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,EntitySpawnAnomaly"
"AnomalyRockUranium","","AnomalyRockBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,EntitySpawnAnomaly"
"AnomalySanta","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,Anomaly,EntitySpawnAnomaly,ProjectileAnomaly"
"AnomalyScanner","anomaly scanner","BaseItem","Resources\Prototypes\Entities\Objects\Specific\Research\anomaly.yml","Sprite,ActivatableUI,UserInterface,Appearance,GenericVisualizer,AnomalyScanner,AnomalyScannerScreen,GuideHelp,Item"
"AnomalyScannerAdmin","admin anomaly scanner","AnomalyScanner","Resources\Prototypes\Entities\Objects\Specific\Research\anomaly.yml","AnomalyScanner,Sprite"
"AnomalyShadow","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,AmbientSound,Anomaly,EntitySpawnAnomaly,Portal,Tag,DamageOnInteract,DamageOnAttacked"
"AnomalyTech","","BaseAnomaly","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,PointLight,Anomaly,TechAnomaly,DeviceLinkSource"
"AnomalyTechBeam","","","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Sprite,Physics,PointLight,Beam,TimedDespawn,Tag"
"AnomalyTrapBluespace","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapElectricity","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapFlesh","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapFlora","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapGravity","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapIce","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapPyroclastic","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapRock","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapSanta","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapShadow","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AnomalyTrapTech","","BaseAnomalyInjector","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Sprite,InnerBodyAnomalyInjector,Anomaly,InnerBodyAnomaly"
"AntiParticlesProjectile","anti particles","ParticlesProjectile","Resources\Prototypes\Entities\Structures\Power\Generation\PA\particles.yml","Sprite,Reflective,Projectile,TimedDespawn,SinguloFood"
"BananiumHorn","bananium horn","BikeHorn","Resources\Prototypes\Entities\Objects\Fun\sound_maker.yml","Sprite,Item,Clothing,UseDelay,EmitSoundOnUse,EmitSoundOnLand,EmitSoundOnTrigger,EmitSoundOnActivate,EmitSoundOnCollide,MeleeWeapon,Construction,Tool"
"BaseAnomaly","anomaly","","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomalies.yml","Anomaly,AmbientSound,Transform,Physics,Fixtures,Sprite,InteractionOutline,Clickable,Damageable,Appearance,AnimationPlayer,GuideHelp,EmitSoundOnSpawn,SecretDataAnomaly,DamageOnInteract,DamageOnAttacked"
"BaseAnomalyCore","anomaly core","BaseItem","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,Appearance,GenericVisualizer,Item,EmitSoundOnUse,UseDelay,Tag,AnomalyCore"
"BaseAnomalyInertCore","","BaseAnomalyCore","Resources\Prototypes\Entities\Structures\Specific\Anomaly\cores.yml","Sprite,AnomalyCore"
"BaseAnomalyInjector","anomaly injector","MarkerBase","Resources\Prototypes\Entities\Structures\Specific\Anomaly\anomaly_injectors.yml","Physics,AmbientSound,Fixtures,InnerBodyAnomalyInjector"
"BaseAPC","APC","BaseWallmount","Resources\Prototypes\Entities\Structures\Power\apc.yml","StationAiWhitelist,AmbientOnPowered,AmbientSound,PointLight,AccessReader,Sprite,Appearance,ApcVisuals,Battery,ExaminableBattery,NodeContainer,PowerMonitoringDevice,BatteryCharger,PowerProvider,Apc,ExtensionCableProvider,UserInterface,ActivatableUI,Construction,PowerNetworkBattery,WallMount,WiresPanel,Wires,WiresVisuals,Damageable,Destructible,StationInfiniteBatteryTarget,Electrified,LightningTarget,StaticPrice,GuideHelp"
"BaseBonfire","","BaseStructure","Resources\Prototypes\Entities\Structures\Decoration\bonfire.yml","Fixtures,Sprite,PointLight,Damageable,Destructible,AmbientSound,AlwaysHot,IgnitionSource,RequireProjectileTarget"
"BaseBorgTransponder","","","Resources\Prototypes\Entities\Mobs\Cyborgs\base_borg_chassis.yml","BorgTransponder,DeviceNetwork,TimerTrigger,ExplodeOnTrigger,Explosive"
"BaseBullet","BaseBullet","","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Reflective,FlyBySound,Clickable,Sprite,Physics,TileFrictionModifier,Fixtures,Projectile,TimedDespawn"
"BaseEffectGoliathTentacleSpawn","tentacle","","Resources\Prototypes\Entities\Mobs\NPCs\asteroid.yml","Transform,Physics,Sprite,InteractionOutline,TimedDespawn"
"BaseEnergyBall","","","Resources\Prototypes\Entities\Structures\Power\Generation\Tesla\energyball.yml","Clickable,Physics,CanMoveInAir,ChasingWalk,LightningTarget,AmbientSound,PointLight,Appearance,LightningArcShooter"
"BaseFigurine","figurine","BaseItem","Resources\Prototypes\Entities\Objects\Fun\Figurines\figurines.yml","Sprite,PhysicalComposition,StaticPrice,Tag,UseDelay,UseDelayOnTrigger,UseDelayTriggerCondition,TriggerOnActivate,TriggerOnSignal,Speech,DeviceNetwork,WirelessNetworkConnection,DeviceLinkSink"
"BaseGenerator","generator","BaseMachine","Resources\Prototypes\Entities\Structures\Power\Generation\generators.yml","AmbientSound,Fixtures,Sprite,NodeContainer,PowerMonitoringDevice,PowerSupplier,Anchorable,Damageable,PacifismDangerousAttack,Destructible,Explosive,StaticPrice,Electrified,GuideHelp"
"BaseGeneratorWallmount","wallmount generator","[ BaseGenerator, BaseWallmount ]","Resources\Prototypes\Entities\Structures\Power\Generation\generators.yml","AmbientOnPowered,AmbientSound,PointLight,Sprite,NodeContainer,PowerMonitoringDevice,PowerSupplier,GuideHelp"
"BaseHardBomb","hardbomb","BaseStructureDynamic","Resources\Prototypes\Entities\Structures\Machines\bombs.yml","Appearance,WiresVisuals,InteractionOutline,UserInterface,Wires,Defusable,Rotatable,Explosive,ExplodeOnTrigger,TimerTrigger,Anchorable,Fixtures,WiresPanel,GuideHelp"
"BaseLightning","lightning","","Resources\Prototypes\Entities\Effects\lightning.yml","Sprite,Physics,Electrified,Lightning,PointLight,Beam,TimedDespawn,Tag"
"BaseMeteor","meteor","","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\meteors.yml","Sprite,Projectile,Meteor,TimedDespawn,Clickable,Physics,Fixtures,Damageable,Explosive,TileFrictionModifier"
"BasePlushie","","[BaseItem, BaseStash]","Resources\Prototypes\Entities\Objects\Fun\Plushies\plushies.yml","EmitSoundOnUse,EmitSoundOnActivate,EmitSoundOnCollide,EmitSoundOnLand,EmitSoundOnTrigger,UseDelay,MeleeWeapon,PhysicalComposition,StaticPrice,Edible,SolutionContainerManager,Tag"
"BasePowerCell","","BaseItem","Resources\Prototypes\Entities\Objects\Power\powercells.yml","Item,Battery,PowerCell,Explosive,Sprite,SolutionContainerManager,InjectableSolution,DrawableSolution,Extractable,Tag,Riggable,Appearance,BatteryVisuals,GenericVisualizer"
"BaseRockGibtonite","","","Resources\Prototypes\Entities\Structures\Walls\asteroid.yml","Appearance,GenericVisualizer,TimerTrigger,RandomTimerTrigger,ExplodeOnTrigger,Explosive,Destructible"
"BaseSMES","SMES","[ BaseMachine, ConstructibleMachine ]","Resources\Prototypes\Entities\Structures\Power\smes.yml","AmbientSound,Sprite,Smes,Appearance,Battery,ExaminableBattery,NodeContainer,PowerMonitoringDevice,BatteryDischarger,BatteryCharger,PowerNetworkBattery,PointLight,WiresPanel,WiresVisuals,Machine,StationInfiniteBatteryTarget,Electrified,Damageable,BatterySensor,DeviceNetwork,WiredNetworkConnection,GuideHelp,BatteryInterface,UserInterface,ActivatableUI"
"BaseSubstation","substation","[ CoreSubstation, BaseMachine, ConstructibleMachine ]","Resources\Prototypes\Entities\Structures\Power\substation.yml","Sprite,Battery,PointLight,PowerMonitoringDevice,Destructible,Explosive,WiresPanel,Machine,AmbientSound,Electrified"
"BaseSubstationWall","wallmount substation","CoreSubstation","Resources\Prototypes\Entities\Structures\Power\substation.yml","AmbientSound,PointLight,Clickable,ContainerFill,ContainerContainer,InteractionOutline,Physics,Fixtures,Transform,Sprite,Battery,PowerMonitoringDevice,Destructible,Construction,Explosive,WallMount"
"BaseThruster","thruster","BaseStructureDynamic","Resources\Prototypes\Entities\Structures\Shuttles\thrusters.yml","Fixtures,AmbientSound,Transform,Physics,Rotatable,Thruster,InteractionOutline,Sprite,Appearance,ApcPowerReceiver,ExtensionCableReceiver,Damageable,Destructible,StaticPrice,GuideHelp"
"BaseXenoborgTransponder","","BaseBorgTransponder","Resources\Prototypes\Entities\Mobs\Cyborgs\base_borg_chassis.yml","DeviceNetwork,SurveillanceCamera,Explosive"
"BasiliskRay","basilisk ray","BaseBullet","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","FlyBySound,Sprite,Ammo,Physics,Fixtures,Projectile,TimedDespawn,ChangeTemperatureOnCollide"
"BikeHorn","bike horn","BaseItem","Resources\Prototypes\Entities\Objects\Fun\sound_maker.yml","Sprite,Item,Clothing,UseDelay,EmitSoundOnUse,EmitSoundOnLand,EmitSoundOnTrigger,EmitSoundOnActivate,EmitSoundOnCollide,Tag,MeleeWeapon,Tool"
"BikeHornImplant","bike horn implant","BaseSubdermalImplant","Resources\Prototypes\Entities\Objects\Misc\subdermal_implants.yml","SubdermalImplant,TriggerOnActivateImplant,EmitSoundOnTrigger,Tag"
"BiomassReclaimer","biomass reclaimer","[ BaseMachinePowered, ConstructibleMachine ]","Resources\Prototypes\Entities\Structures\Machines\Medical\biomass_reclaimer.yml","Sprite,BiomassReclaimer,Climbable,AmbientSound,Machine,GuideHelp"
"BoltTempgunCold","freezing bolt","WatcherBolt","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Reflective,Projectile,TimedDespawn,ChangeTemperatureOnCollide"
"BulletBolter","","BaseBulletTrigger","Resources\Prototypes\_WH40K\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Projectile,ExplodeOnTrigger,Explosive"
"BulletCannonBall","cannonball","BaseBulletTrigger","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Sprite,ExplodeOnTrigger,Explosive,PointLight"
"BulletCharge","charge bolt","BaseBullet","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Reflective,Sprite,GatheringProjectile,DamageMarkerOnCollide,Projectile,TimedDespawn"
"BulletGrenadeBlast","blast grenade","BaseBulletTrigger","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Sprite,ExplodeOnTrigger,Explosive"
"BulletGrenadeCleanade","cleanade grenade round","BaseBulletTrigger","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Sprite,SmokeOnTrigger,EmitSoundOnTrigger,ExplodeOnTrigger,Explosive"
"BulletGrenadeEMP","EMP rocket","BaseBulletTrigger","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Sprite,EmpOnTrigger,Ammo,PointLight"
"BulletGrenadeFlash","flash grenade","BaseBulletTrigger","Resources\Prototypes\Entities\Objects\Weapons\Guns\Projectiles\projectiles.yml","Sprite,FlashOnTrigger,SpawnOnTrigger,DeleteOnTrigger"
